User,Location,Review Date,Rating,Review Highlight,Review,Date of Experience
Razvan Coman,GB,12 hours ago,5,Best plan I had so far,"Best plan I had so far, it was from a uswitch Lebara promotion. Network is great, customer support is fast from app and helpful. Needed something sorted out, Priya Thakre was very helpful.","December 04, 2024"
David M,GB,A day ago,5,Puneet Desai was friendly,"Puneet Desai was friendly, courteous and professional, answering all my questions very capably.It is so good to be able to speak to a real human, something I wasn't able to do very easily or very often  with Three, my previous provider. Keep it up Labara!","December 03, 2024"
Henry,GB,3 days ago,5,Contacted Lebara on their chat service,Contacted Lebara on their chat service and was connected with Salomi. They were incredibly helpful and were able to cancel my old sim and send me a replacement in under 5 minutes. This was super helpful as I had a busy week and no phone (which would have made working without a phone impossible). Cannot recommend this company and it's services enough!,"December 02, 2024"
Gina,GB,2 days ago,5,Excellent customer service,I don't remember the name of the person I spoke with but he really did go the extra mile.The gentleman I spoke with today had some technical issues and the line went out about two times. She called me back again and he made sure that I understood and that I was happy with all the information I was provided with.,"December 02, 2024"
Oana Petre,GB,9 hours ago,5,Problem was dealt fast and solved,"Problem was dealt fast and solved by Rutuja thank you , there were two active plans and got charged for both , Rutuja has cancelled one plan and refund for the previous one","December 04, 2024"
Deb Jackson,GB,2 days ago,5,Great service by Saad,"Saad was patient, polite and very helpfulI had made a complete mess of things, allowing the pac code to run out and the new lebara account to close as I hadnt set it up in timeSaad helped me resolve all the issues and order my new pac code from the existing providerI wouldn't hesitate to recommend him","December 02, 2024"
Iggy,US,2 days ago,5,Excellent Customer Service Amit Kamble,"Amit Kamble was very polite and knowledgeable. Amit solved the problem I was having with the VOLTE Switch On/ Off Option which was not listed in my settings: This is sometimes the case & as long as LTE is listed in Network Mode, this does not matter.","December 02, 2024"
Marina,GB,2 hours ago,1,I moved number today at 15:00 and I…,"I moved number today at 15:00 and I still can't use my phone! The agent over chat gave me insight into what could go wrong, but I would never recommend anyone to Lebara because your online systems are horrendous. I used Lebara in Spain and never had problems so I thought to switch up. However I can't even register the number due to several errors and I'm leaving the moment I get PAC. Nothing was simple, several wrong outcomes and I need phone for work. I now need to wait till tomorrow to receive PAC because I was transferred just today. I was also advised to go into store to buy voucher and work my plan through that or register with another email. Ok, fair suggestions but it shouldn't be this complicated, I lost full afternoon and night because your online system, website or app is completely usless and is just flagging error!I also called your customer service first, who advised me to just add money to the account, and they didn't see any problem, took details or rectified the problem. Very poor indeed,  I guess you get what you pay for, lesson learned!","December 04, 2024"
Krishan,GB,11 hours ago,5,Excellent Service,I reached out to customer service team via chat option and Akshay was very helpful in sorting out my issues and that too very quickly.Thanks Akshay for quick support,"December 04, 2024"
Fliz,GB,2 days ago,5,Excellent service,"I asked for an agent on chat and straight away the bot transferred me to an agent called Aman. He was extremely helpful, polite and resolved a complex issue for me as I did not even have all the information he needed. He kept working on the issue until resolved. Excellent service and help from the Lebara agent Aman.","December 02, 2024"
Wilson,GB,5 hours ago,5,I appreciate by your employee Mr ketan,From your employer Mr. KETAN is very good person. He help me with my network issues and he get Rais the complain and I appreciate by his customer service.,"December 04, 2024"
Ricardo Ferreira,PT,6 hours ago,1,Unhelpful costumer support,"Though my issue was resolved, I can’t take down this experience from a review.I canceled my port to a different carrier, but when number got accidentally transferred, Lebara’s costumer service put me in a difficult loop of blaming the other company and the other company having nothing else they could to to help me.Only after I posted a 1 star review on Trustpilot I got a proper response, and still when I wasn’t able to pick up their follow up call, I was ignored. I had to post another 1 star review to get attention.If this were someone who wasn’t as knowledgeable of tech, their number would’ve been lost.Lebara’s costumer support are outsourced from a cheaper country, where the operators are forced to stick to a script. I was ordered to buy a new SIM card, call the other company, and was disrespected and hung up on twice during my many calls asking for assistance.","October 23, 2024"
Jeremy sandle,GB,A day ago,1,Lebara cut my ability to use my call…,Lebara cut my ability to use my call minutes when in Spain. They also prevented me from using the Chat. On phoning them They required me to top up my account to restore access.After doing that I called them to enquire why they had cut me off. They told me that if I was out of the Uk for 120 days they would consider this unfair. I pointed out that I had not been out of UK for anything like 120 days.They have failed to explain their actions.,"November 06, 2024"
Susan Tytherleigh,GB,13 hours ago,5,Sarfraz was very helpful to transfer my…,Sarfraz was very helpful to transfer my porting of my existing number to any earlier day. As on line it only gave me a date two days away.,"December 04, 2024"
Mohammed Chowdhury,GB,Updated a day ago,5,Great Network Great service and great…,Great Network Great service and great customer care.Best network in UK and better than three O2 Vodafone.Long Live Lebara.Madhuri and Geetanjali did very good job and They gave me a best customer service indeed.,"December 02, 2024"
Angela kay,GB,2 days ago,5,I changed from a bigger well known…,I changed from a bigger well known supplier.I found Lebara simm only the cheapest with a higher quality service.I have better reception then with two bigger well known companies.I would highly recommend,"November 11, 2024"
Stanley Ibeh,GB,2 days ago,5,Thank You so much Lebara,Thank You so much LebaraMost especially thank To your customer care named  nitin He was so Good and was able to attend to me very well I’m happy to use lebara you have a good customer care service …,"December 03, 2024"
eezy,AU,12 hours ago,5,Excellent chat support with Priyanka…,Excellent text experience with Priyanka helped cancel  my UK sim once I had left the UK. Very easy - no problem. will use Lebara next trip to UK,"December 04, 2024"
Suma,GB,2 days ago,5,I had great service experience with…,I had great service experience with sharvari. She was so helpful her guidance and her response of action made me a happy customer of lebara for resolving my issue as soon as possible. Thank you sharvari for your valuable time.,"December 02, 2024"
Maria Blendea,GB,6 hours ago,5,Amazing 5* service in emergency,"My phone was stolen and I couldn't access emails/bank accounts. However, Ajankja was able to solve my problem amazingly and efficiently in a few minutes. I was SO happy and relieved. Thanks for the 5* service","December 04, 2024"
Mumtaz Khan,GB,2 days ago,5,Prateek excellent customer service,Prateek customer services helped me when I was distressed and she provided exceptional services and was a huge credit to Lebara. I have never had customer service of this excellence anywhere in the world. Prateek is a asset for lebara and should train people with her skills.,"December 01, 2024"
Ifeanyi Leo,GB,A day ago,5,Great customer service experience,"Great customer service experience from lebara. All thanks to Anurag Tripathi, he was very helpful and empathetic in guiding me through out my experience.Great offers from Lebera, I got the best one so far","December 03, 2024"
Adam M,GB,13 hours ago,5,Really easy to get setup and great customer service,"Really easy to get setup and Santosh from customer services was a big help when I came across an issue, it was resolved quickly.","December 04, 2024"
Enrique Joyette,GB,2 days ago,5,The gentleman who helped me today did a…,"The gentleman who helped me today did a terrific job. He was highly professional, patient and courteous. A credit to any company, I wish you the very best and thank you again for your kind and efficient work.","December 02, 2024"
customer,GB,A day ago,5,They think I’ve left them!,"Lebara think I have left them, but that is not at all true. I had been with O2 for many years, indeed I started with Cellnet, the forerunner, back in the 1980’s and stuck with them until November 2024. I work on the road, frequently in rural areas, and I have always had a back-up phone, as I need to be sure of being able to submit reports, using mobile data, wherever I might be. For many years, I had assumed that O2 had the best coverage for me, and had my back-up phone on BT Mobile (EE Network) for the odd occasions where there was no O2 data coverage. Just over 12 months ago, I moved my back-up phone to Lebara and have been very impressed with the coverage and data speeds. Indeed, I found myself using it more than my main (O2) phone. On the strength of this, I moved my main phone and number to Lebara, on a new contract, and cancelled the old contract, in order to move the back-up number to a cheap sim-only O2 contract. To sum-up, I find Lebara, on the Vodafone network, to be far superior to O2 and EE, at a much cheaper price.","December 01, 2024"
Catrin Jones,GB,3 days ago,5,Thank you Raunak!,"Having contacted Lebara for 3 weeks without any updates or being sent the information requested, I talked to Raunak as an agent. Within 20 minutes, Raunak was able to resolve any issues that everyone else couldn't resolve. Thank you Raunak!","December 02, 2024"
Alan P,GB,2 days ago,5,There's a person on the helpline,The wonderful thing about this company is that it's easy to speak to a real person who knows the answer. Jatin Reddy had an immediate solution to my query and clearly understood what I was trying to do.,"December 02, 2024"
Kuen,GB,12 hours ago,5,Jayshree is a very good customer…,"Jayshree is a very good customer servece, patient to help to reset my network problem. Very good. Appreciate his/her job.. Excellent","December 04, 2024"
Ifty Ahmed,GB,A day ago,5,Najuka provided amazing customer service,"Najuka was super polite and helped me so much, beyond my expectation.I hope Najukas manager is happy with her as  her customer service is 5 star.","December 03, 2024"
Violette,GB,13 hours ago,5,Lovely experience,Had a nice experience! Aniket helped me out very nicely and was very patient and understood all the concerns from my end and helped sort them out.,"December 04, 2024"
IbnH,GB,14 hours ago,5,I found a good deal on uswitch and…,"I found a good deal on uswitch and upgraded to the new plan which is more value for money than current via chat. The agent, Siyona, was so helpful & even didn’t charge me for the first month as I already paid for the previous plan for this month. Thank you.","December 04, 2024"
Angie Pidsley,GB,10 hours ago,5,Rechal was brilliant today!,"Rechal was brilliant today and helped me a lot with setting up my porting, and a good welcome to Lebara, what a great experience to have help at hand!","December 04, 2024"
Dee,GB,13 hours ago,5,Rutuja kindly added more data to my…,Rutuja kindly added more data to my phone today. We have moved house and I have NO wifi available until Friday so she was very helpful as I need this urgently. Thank you,"December 04, 2024"
Hamadi tabib,GB,2 days ago,5,I’m really happy your customer service…,I’m really happy your customer service is really good I’m chatting with Mr Shweta Pardeshi it’s very helpful thank you very much,"December 03, 2024"
Vivicha love,GB,7 hours ago,5,After speaking to 4 diferrent people…,After speaking to 4 diferrent people they did not resolve my querie the last lady I spoke to was extremely helpful and delt with my querie very well,"December 04, 2024"
wiam saab,GB,2 days ago,5,Jayshree excellent customer service,I had an excellent customer service from Jayshree. Overall the service from Lebara was great. Very good price for what they offer. Highly recommendee,"December 03, 2024"
Susanne Smith,GB,1 days ago,5,Shwetambari did a great job resolving…,"Shwetambari did a great job resolving my issue today. Good company to deal with , unlike other mobile providers I used in the past","December 03, 2024"
K Vinoop,GB,13 hours ago,5,Excellent customer care service.,Listened  my concerns and explained everything very clearly.Saad has excellent communication skills and is a very good listener.Resolved the issue immediately.,"December 04, 2024"
Italo,GB,A day ago,5,Care for the customer,"In the last week I had an issue and a different request, I used the chat in both cases and Aditya and Prateek were very helpful and quick.","December 03, 2024"
Buyinza Jackin,GB,3 days ago,5,Actually I liked the expression of…,Actually I liked the expression of customer service as I was in need of quick response of £10 monthly top-up and was resolved in a short time. Thanks lebara for your quick response.,"December 02, 2024"
Chinelly Beauty,GB,2 days ago,5,I like the fact that the customer care…,"I like the fact that the customer care representative Anuraj Tripathi, carefully listened to my complaints and proferred a successful solution. I am pleased and satisfied. Thanks","December 03, 2024"
Abhinav Kant,GB,2 days ago,5,Lost sim,I spoke to Sonal and she was very friendly and helpful in replacing my lost SIM card. She had sorted a replacement card to be sent out straight away and I get to keep the old number. Brilliant service !,"December 02, 2024"
Farideh Hartman,AU,2 days ago,5,Data issues,"Every time I have called with an issue I have had with my data, my issues were resolved.Rohit helped me out to resolve my problems, now I have internet.:)","December 02, 2024"
dan aycroyd,GB,Updated 2 days ago,1,5GB if you log in to lebara app,"I got an email from lebara saying that 5GB of data will be added to my account if I log in to lebara app. I did log in and couple of days later I got confirmation email saying that extra data has been added to my account. It wasn't. I called customer services and been told that my account will be credited on Friday the 29 of November. It wasn't. I call them again on the 2nd of December and finally got my extra 5GB added, which unfortunately will be valid till 27 of December, not as promised for a full month. I like lebara, I've been with them for a few years  now and convinced my family to switch to lebara as well. Although I will stay with lebara for years to come, so is my family, but this 5GB offer felt short and lebara should think again before sending such an offers that they can't keep.Update:Lebara has contacted me couple of hours after this review and refunded me my monthly plan, which wasn't really necessary or expected, but appreciated. They did apologised for the trouble, I'm just hoping that they will treat my review as a constructive one and fix the issue to avoid future problems with the other customers","November 26, 2024"
Becky Lewis,GB,2 days ago,5,"Great, quick resolution",Karan was great today. Answered my query quickly and resolved it straight away and was able to put the deal from last month back on and correct a payment error. Perfect and quick resolution. thank you,"December 03, 2024"
Vinny,GB,8 hours ago,5,Great Customer Experience,"I would like to commend Sharvari for the outstanding customer service she provided during my recent interaction with Lebara.What stood out was her dedication—when my call was disconnected, Sharvari took the initiative to ring me back immediately, ensuring I didn’t have to start over or face any inconvenience. This level of proactiveness and care truly reflects exceptional customer service.Today I experienced what great customer service should be, and Sharvari exemplified that perfectly. Thank you, Sharvari","December 04, 2024"
Haytham,US,11 hours ago,1,A very bad experience with Lebara,"well, i had a very frustrating experience with lebara. I placed 3 different orders throughout the previous week with 2 of them getting cancelled as per their customer service chat ""due to a system glitch no number was generated and they had to cancel the order and for me to place a new one"" and the same thing happened again with the 2 order and now no updates on my third order as well""","November 29, 2024"
Anthony Wong,GB,13 hours ago,5,"Simple, efficient and no hassle.","Chatted with Akshay online chat and was very reassuring and understood what I needed. Simple, efficient and no hassle.","December 04, 2024"
Oliver,GB,2 days ago,5,My problem was solved by a patient…,"My problem was solved by a patient agent whose name is Shadab K, and I really appreciate his patience!","December 03, 2024"
ANJALY P C,GB,A day ago,5,Excellent Support and Scam Call Assistance from Lebara,"I  contacted Lebara's customer care regarding a scam call I received. I wanted to confirm if it was legitimate or not. My experience with their service was excellent.The representative kushbu was polite, professional, and knowledgeable. They patiently listened to my concerns and quickly verified the situation, assuring me that the call was indeed a scam and providing helpful advice on how to handle such incidents in the future. I felt valued as a customer and appreciate their swift and efficient support. Thank you, Lebara, for ensuring customer safety and delivering great service.","December 03, 2024"
SDB,GB,2 days ago,5,Very helpful,"Fast, efficient and helpful. The customer service rep Patnaik went out of his way to ensure service was renewed and all the options that I could consider.","December 02, 2024"
Hamdalah Yisau,GB,A day ago,5,Customer relationship,The agent I spoke to Rohit K help me with my concern and give me options of other plans I might be interested in.,"December 03, 2024"
David Lo,GB,9 hours ago,5,Quick help available,I have never thought of contacting a member of staff is so easy and they helped my case immediately.,"December 04, 2024"
Richard Roberts,GB,13 hours ago,5,Gitanjali w was very kind understanding…,Gitanjali w was very kind understanding and helpful.A credit to Lebara.Thank youVery much.,"December 04, 2024"
Han,GB,A day ago,5,Chat feature is helpful,I used the chat option with Priyanka A and she was very helpful and informative. My problem was resolved within minutes,"December 03, 2024"
AP,GB,A day ago,5,Great service,Neha was great! She understood my concern and tackled the issue without any hesitation. Quick and attentative.,"December 03, 2024"
Anthony White,GB,8 hours ago,5,Raunuk was very helpful,Raunuk was very helpful. He quickly identified my problem and came up with a solution.,"December 04, 2024"
Mr  Palmer,GB,12 hours ago,5,Really responsive online service,"Really responsive online service. Priya Thakre , thank you for your great support!","December 04, 2024"
Chi,GB,3 days ago,5,Helpful and good service,I have a problem with my payment method today. Priya Thakre helped me to solve the problem right away. She is helpful and nice. I really appreciate her good service.,"December 02, 2024"
SIRISH LEGEND PHYSIOTHERAPY,GB,A day ago,5,It's good talking with sarfaraz he…,It's good talking with sarfaraz he quickly solved my issue and responded promptly. Good service.  Thank you,"December 03, 2024"
Kailash Suthar,GB,2 days ago,5,"quick, convenient and responsive",It was really quick convenient and responsive. My queries were answered aptly and resolved quickly. Thanks to Team Lebara.,"December 02, 2024"
Anika Khadka,GB,14 hours ago,5,"Service quality,food and preparation,value for money","""I recently visited a Japanese restaurant near Tottenham Court and was thoroughly impressed with the experience. The ambiance was warm and inviting, with traditional décor that created an authentic feel. The staff were attentive, friendly, and knowledgeable about the menu.","December 04, 2024"
Selvaganeshan Tharani,GB,13 hours ago,5,Thanks RAAFE for your guidance to help…,Thanks RAAFE for your guidance to help remove my auto payment. He helped me get a solution with in minutes. Thanks Lebara.,"December 04, 2024"
Helena,GB,2 days ago,5,I am so greatful to lebara they are…,"I am so greatful to lebara they are best mobile network I have stayed with for years and go out of there way to help you out in whatever way they can,,thank you so so much,much appreciated 🙏 10stars to (Shubhangi A) great agent can't thank this gentleman enough 😁","December 02, 2024"
Haonan Ding,GB,2 days ago,5,Thank you very much for Ajankya's help,"Thank you very much for Ajankya's help. My phone card failed. With his patient help, I successfully got the original package.","December 02, 2024"
Grant,GB,3 days ago,5,Decent support,Lebara support quickly and efficiently resolved my problem. Sagar H is a god amongst online support people.,"December 02, 2024"
Margaret Gray,GB,A day ago,5,Tanveer was great,"Tanveer was great, id read info but just wanted to check I was making sense of it and just reassured me","December 03, 2024"
Joy,GB,14 hours ago,5,Customer service is great,Customer service is greatNice and patientSanju made the service very great and easy and understanding,"December 04, 2024"
ashni benny,GB,11 hours ago,5,The agent that i have spoken to is very gentle and helped me with my sim issues,"The agent that i have spoken to regarding my sim issues ,have helped me a lot and solved my sim issues","December 04, 2024"
Bose Babu,GB,2 days ago,5,Hardhada,"Hardhada, done good job. She made my day by completely understanding my problem. Thanks alot.","December 02, 2024"
Belinda Morgan,GB,2 days ago,5,Great agent chat service,I had been struggling to set up wifi calling. Sumedhi Patil sorted my issue in seconds on the agent chat. Great service - thank you Sumedhi and thank you Lebara,"December 02, 2024"
Adhulkrishna Kd,GB,A day ago,5,Great customer service from raunak.I…,Great customer service from raunak.I don’t know whether the spelling of this name is correct or not.This guy helped me in a good way.,"December 03, 2024"
Zahra McHugh,GB,5 hours ago,5,Fast response from Customer Services,I had a query regarding my account and Geetanjali was very helpful and fast in answering my question.,"December 04, 2024"
Ugochi onyenorah,GB,A day ago,5,"I had a concern regarding ""Exceptional Customer Support Experience with Lebara""my shipping…","I had a concern regarding my shipping address, so I contacted customer service. SAGAR H assisted me, and I was impressed by his politeness, thoroughness, and patience. I truly appreciate his professionalism. Lebara provides some of the best customer support I've experienced.","December 03, 2024"
Rafal,GB,A day ago,5,"Yash Patole,thank you very much for…","Yash Patole,thank you very much for getting my sim swap sorted straight away.i really appreciate that.thanks","December 03, 2024"
Rose Taylor Taylor,GB,3 days ago,5,Easy to reach an advisor,"Easy to reach an advisor, clear and precise answers to my questions, everything done easily and effortlessly","December 02, 2024"
Surinder Kaur,GB,2 days ago,5,Very helpful,"The customer assistant, Gauri was very helpful. She explained the process clearly and was very reassuring. She has amazing customer service skills and is very knowledgeable.","December 02, 2024"
MARTIN KUNDRAT,GB,A day ago,5,Great CS,"Very cheap plans (SIM only), great service and excellent CS.I had to contact CS and the response from Pratham was very quick and to the point.Well done!","December 03, 2024"
Troy,GB,A day ago,5,Great Customer Services,"Great customer service and I was in touch with a real person quickly. He was knowledgable and helpful, explaining the issue I was experiencing and arranging a refund.","December 02, 2024"
sophie lee,GB,6 hours ago,5,Raunak was quick to resolve my issue…,Raunak was quick to resolve my issue and was very polite via live chat.,"December 04, 2024"
Idewor Abass,NG,3 days ago,5,Jatin Reddy made it an excellent…,Jatin Reddy made it an excellent experience. He is good and well bred in customer service orientation.God bless Jatin Reddy,"December 02, 2024"
Uditi Jain,GB,2 days ago,5,Called the customer service as…,Called the customer service as hadissues with renewal of the contract. Patnaik from the customer service team was very helpful and solved my query.,"December 02, 2024"
Sandy Mak,GB,10 hours ago,5,Lebara provides excellent customer…,Lebara provides excellent customer services.Lebara is responsive and efficient. Special thanks to Aishwarya who is very helpful and responsive to my request.Highly recommends Lebara.,"December 04, 2024"
Louie,GB,2 days ago,5,I spoke to Saad he was very…,I spoke to Saad he was very professional and understanding and all over lovely to speak to,"December 03, 2024"
Umeshchandra Gajula,GB,4 hours ago,5,Rohit guided me well to stay in lebara…,Rohit guided me well to stay in lebara and use exclusive plans,"December 04, 2024"
Nebojsa Arsenovic,NL,14 hours ago,5,Punit J is very polite and helpful…,Punit J is a very polite and helpful person helped me to transfer my existing number to Lebara,"December 04, 2024"
Shubham,GB,2 days ago,5,I am fully satisfied with the service…,I am fully satisfied with the service Shubhangi A provides. I got all the information that i was looking for. Well done Shubhangi A.,"December 02, 2024"
Antonio Dias,GB,2 days ago,5,Ganesh was extraordinary he went his…,Ganesh was extraordinary he went his way out to help me and he exceeded my expectations,"December 02, 2024"
Consumer,GB,12 hours ago,5,Nitin was so helpful with my enquiry,"Nitin was so helpful with my enquiry. I was so grateful for his assistance. Nitin, thank yoi so much.","December 04, 2024"
Pete,GB,A day ago,5,Needed advice on setting up a first…,Needed advice on setting up a first phone for son. Used chat function Mukesh was very helpful.,"December 03, 2024"
Anwar Hussain,GB,10 hours ago,5,Issues were resolved in a very kind and…,Issues were resolved in a very kind and business like manner.,"December 04, 2024"
Jhoee,GB,3 hours ago,5,Extremely Helpful,He was very helpful and kind throughout the call and was able to assist me with my query.,"December 04, 2024"
Declan,GB,A day ago,5,"So far, great!",Easy to get in touch with support. Nice app so far. Really liking my transition so far. Let's see how it goes from now! Price was great as well. Big up to Akash who helped me in support,"December 03, 2024"
Carol Nieuwoudt,GB,12 hours ago,5,Sagar H was quick to respond to my…,Sagar H was quick to respond to my request and was extremely helpful.,"December 04, 2024"
B lovatt,GB,10 hours ago,5,Ruth was amazing,Ruth was amazing efficient and very knowledgeable and sorted my problem straight away,"December 04, 2024"
Alan A,GB,6 hours ago,5,Prachi did an excellent job guiding me…,Prachi did an excellent job guiding me through my problem.,"December 04, 2024"
khalid Akhtar,GB,A day ago,5,Excellent service by Shruti resolved my…,Excellent service by Shruti resolved my issue in minutes with smile,"December 03, 2024"
DONNA CAMPBELL,GB,13 hours ago,5,Aarti was very helpful this morning and…,Aarti was very helpful this morning and sorter my problem,"December 04, 2024"
Emmanuel Ndu,GB,2 days ago,5,Recovery of my sim,"He was able to solve my problem, and he was patient to understand my complaints","December 03, 2024"
Kai,GB,12 hours ago,5,Review,The agent Akshay is friendly and helpful. Akshay helped me to solve my problems promptly.,"December 04, 2024"
Aj,GB,8 hours ago,5,Excellent and quick service …,Excellent and quick service when my mobile data got exhausted.,"December 04, 2024"
Amreen Ahmed,GB,6 hours ago,5,Mr patnaik was really helpful and help…,Mr patnaik was really helpful and help me to sort out with refund,"December 04, 2024"
Hari Nellipallil,GB,2 days ago,5,I talked to Nitin one of the costumer…,"I talked to Nitin one of the costumer care ,he was helpful and he resolved my problem very quickly.Thank youLebra","December 03, 2024"
onyinyechi ndukwe,GB,3 days ago,5,Prompt response,Hello. Thanks to Lebara customer service for always attending in a good and efficient manner. Thanks to Patnaik for today's service I appreciate.,"December 02, 2024"
Bency,GB,12 hours ago,5,It was very great experience ..shruthi…,It was very great experience ..shruthi was so helpful and humble and helped me a lot ..thank u,"December 04, 2024"
Paul Deamer,GB,2 days ago,5,Would recommend Lebara mobile to…,"Would recommend Lebara mobile to everyone,not had any problems at all with the service and customer service glad I moved from TalkTalk.","December 02, 2024"
Shawn,GB,1 days ago,5,Verrrrrry patient and nice,Verrrrrry patient and nice，I highly recommend and satisfied with Akasha.,"December 03, 2024"
P.Hills,GB,A day ago,1,Lebara take unauthorised payment from unlinked account.,Lebara took a cancelled personal paypal account subscription (lost sim card ) payment from my unlinked business paypal account without permission or notification. I believe that this contravenes direct debiting laws by setting up a payment without permission.,"December 03, 2024"
Shannon Cannon,GB,A day ago,5,I would like to mention Sandesh being…,I would like to mention Sandesh being extremely professional and kind to me please take this comment in to serious consideration he is definitely a loyal worker within your team thanks 🙏 so very much Sandesh,"December 03, 2024"
Priyank Patel,GB,12 hours ago,4,Priti is Very helpful she resolved…,Priti is Very helpful she resolved issues in 5 min.,"December 04, 2024"
Radha Saini,GB,3 days ago,5,She is very polite very cooperative she…,She is very polite very cooperative she know very well how to deal with customers excellent 👏.,"December 02, 2024"
Njeri Graice,KE,2 days ago,5,Best customer service!!,Aditya was very kind and helpful to me. He was very patient in guiding me through how to solve my problem. I am very grateful.,"December 02, 2024"
Nick,GB,11 hours ago,5,SS understood and fixed the problem…,SS understood and fixed the problem quickly and with no fuss,"December 04, 2024"
Kay Rana,GB,2 days ago,5,Professional people,Sarfaraz was very professional and he delt with my query very quickly.,"December 02, 2024"
Michael O,GB,A day ago,1,Plea to CEO ignored,"Plea to CEO ignored:I write in frustration by the poor service I am receiving from Lebara and a plea to step in. It had already been escalated within Lebara to your senior complaints team. I would have thought that I would have received better care from them, but that has not been the case.  I have been appalled by lack of care and attention that I have been given particularly by Rohan in your senior complaints team. It is now 2 months since I’ve not had proper internet access. I only got any attention when I wrote a poor review on Trustpilot, but now nobody has contacted me. The last intervention from Rohan was 3 weeks ago. He said he would phone me later in the day to check if the latest intervention had been effective (it hadn’t). That was 3 weeks ago and still no check-up from him. How does someone like Rohan who obviously does not have the capabilities for s service-oriented role, get promoted?I’ve had my SIM replaced twice, I’ve been asked to change some settings twice, yet it takes about a minute for a webpage to load (I attach my latest speed test), and all this time you have the affrontery to keep taking my money each month and I don’t have an effective service. I wrote poor reviews on Trustpilot and someone called John-Paul Patten, Operations Director, does a copy & paste nonsense: “Thanks for taking the time to leave a review. It is very disappointing to hear you feel this way and we would love the chance to put things right. As you left your contact details when leaving the review, a member of my team will reach out to you ASAP.”, and yet it doesn’t manifest in real life.I’m trying to fathom why you have good reviews as it certainly has not been my experience. I’m a teacher and to be without internet on my phone has been causing many issues for me the past two months. The lack of internal communication between your service agents and your IT is atrocious – apparently nobody can call one another! Really? It’s ridiculous and I’m paying the price! I’m fed up speaking to different agents and explaining from the beginning all that has happened. Why is there not one person to seamlessly take me through until a solution has been found? I’m a teacher and I can’t receive phone calls from your agents at any time as I have classes of students. I have given specific times I can be available but these are often ignored.  Plus when Lebara text you to say that they are calling, Lebara charge me to reply to you! Why are you charging Lebara customers to reply to you? It’s been such a mess and such disgraceful behaviour. It’s now 2 months since I reported this issue - when are you going to find a solution? Plus I feel I deserve compensation for all the hassle I have been put through and at a minimum a refund of what I am paying you each monthI hope that you can give this your urgent attention and keep an eye out whether this has been solved","November 30, 2024"
